"Education","Occupation","Duration","age","que_6","que_15","que_24","Location","Point","Slope","Slope_scaled","Slope_scaled_alt","que_6_scaled","que_6_delta","que_6_scaled_alt","que_6_delta_alt","que_15_scaled","que_15_delta","que_15_scaled_alt","que_15_delta_alt","que_24_scaled","que_24_delta","que_24_scaled_alt","que_24_delta_alt"
2,5,16,1,5,6,5,"Kendrick",1,0.0875640084826908,0.242845451564927,0.577098945374175,0.666666666666667,0.423821215101739,0.493810803551276,-0.0832881418228995,0.8,0.557154548435073,1.0437612685542,0.466662323180029,0.5,0.257154548435073,0.0576695305542377,-0.519429414819937
3,4,23,2,4,3,3,"Kendrick",2,0.0498479558569124,0.096258868117175,-0.132845864749945,0.5,0.403741131882825,-0.200610638942706,-0.0677647741927608,0.2,0.103741131882825,-1.42830489381102,-1.29545902906107,0,-0.096258868117175,-1.6724163860729,-1.53957052132296
4,6,45,4,4,2,7,"Kendrick",3,0.0276032753623194,0.00980306252312502,-0.551566657901338,0.5,0.490196937476875,-0.200610638942706,0.350956018958632,0,-0.00980306252312502,-2.25232694793276,-1.70076029003142,1,0.990196937476875,1.78775544718138,2.33932210508271
3,3,35,2,4,3,6,"Kendrick",4,0.0300766840621069,0.0194161716777131,-0.505008666078784,0.5,0.480583828322287,-0.200610638942706,0.304398027136079,0.2,0.180583828322287,-1.42830489381102,-0.923296227732232,0.75,0.730583828322287,0.922712488867807,1.42772115494659
4,5,34,3,5,3,6,"Kendrick",5,0.0327251405527703,0.0297096186677362,-0.455155677510705,0.666666666666667,0.63695704799893,0.493810803551276,0.94896648106198,0.2,0.170290381332264,-1.42830489381102,-0.973149216300312,0.75,0.720290381332264,0.922712488867807,1.37786816637851
4,1,37,4,5,4,6,"Kendrick",6,0.0269463038442075,0.00724968793702947,-0.563933103677376,0.666666666666667,0.659416978729637,0.493810803551276,1.05774390722865,0.4,0.392750312062971,-0.604282839689276,-0.0403497360119002,0.75,0.74275031206297,0.922712488867807,1.48664559254518
4,1,54,4,3,5,7,"Kendrick",7,0.0262902559711152,0.00469990317431986,-0.576282163302362,0.333333333333333,0.328633430159013,-0.895032081436687,-0.318749918134325,0.6,0.59530009682568,0.219739214432464,0.796021377734826,1,0.99530009682568,1.78775544718138,2.36403761048374
2,1,70,4,1,6,6,"Kendrick",8,0.0262902559711152,0.00469990317431986,-0.576282163302362,0,-0.00469990317431986,-2.28387496642465,-1.70759280312229,0.8,0.79530009682568,1.0437612685542,1.62004343185657,0.75,0.74530009682568,0.922712488867807,1.49899465217017
3,1,45,3,1,2,4,"Kendrick",9,0.0276032753623194,0.00980306252312502,-0.551566657901338,0,-0.00980306252312502,-2.28387496642465,-1.73230830852331,0,-0.00980306252312502,-2.25232694793276,-1.70076029003142,0.25,0.240196937476875,-0.807373427759331,-0.255806769857994
3,4,29,2,5,4,6,"Kendrick",10,0.0446928360837215,0.0762230652638424,-0.229882809863435,0.666666666666667,0.590443601402824,0.493810803551276,0.72369361341471,0.4,0.323776934736158,-0.604282839689276,-0.374400029825842,0.75,0.673776934736158,0.922712488867807,1.15259529873124
2,4,40,3,7,6,4,"Kendrick",11,0.0250809925358848,0,-0.599044627562152,1,1,1.88265368853924,2.48169831610139,0.8,0.8,1.0437612685542,1.64280589611636,0.25,0.25,-0.807373427759331,-0.208328800197179
4,1,40,3,2,4,4,"Kendrick",12,0.0250809925358848,0,-0.599044627562152,0.166666666666667,0.166666666666667,-1.58945352393067,-0.990408896368515,0.4,0.4,-0.604282839689276,-0.00523821212712383,0.25,0.25,-0.807373427759331,-0.208328800197179
5,1,30,2,4,7,6,"Kendrick",13,0.0442001197341298,0.0743080820864639,-0.239157412874695,0.5,0.425691917913536,-0.200610638942706,0.0385467739319895,1,0.925691917913536,1.86778332267594,2.10694073555064,0.75,0.675691917913536,0.922712488867807,1.1618699017425
2,4,27,1,6,7,5,"Kendrick",14,0.0409756185577166,0.0617757893923285,-0.29985352808451,0.833333333333333,0.771557543941005,1.18823224604526,1.48808577412977,1,0.938224210607672,1.86778332267594,2.16763685076045,0.5,0.438224210607672,0.0576695305542377,0.357523058638747
3,7,30,3,7,3,6,"Kendrick",15,0.0442001197341298,0.0743080820864639,-0.239157412874695,1,0.925691917913536,1.88265368853924,2.12181110141393,0.2,0.125691917913536,-1.42830489381102,-1.18914748093632,0.75,0.675691917913536,0.922712488867807,1.1618699017425
2,6,11,1,3,5,4,"Kendrick",16,0.0637723429449195,0.150377159606668,0.129258614883039,0.333333333333333,0.182956173726665,-0.895032081436687,-1.02429069631973,0.6,0.449622840393332,0.219739214432464,0.0904805995494246,0.25,0.0996228403933316,-0.807373427759331,-0.936632042642371
2,6,17,3,4,6,5,"Kendrick",17,0.094181960943508,0.26856667563565,0.701671393340111,0.5,0.23143332436435,-0.200610638942706,-0.902282032282816,0.8,0.53143332436435,1.0437612685542,0.342089875214094,0.5,0.23143332436435,0.0576695305542377,-0.644001862785873
2,1,33,3,6,5,6,"Kendrick",18,0.0342746204903074,0.0357318016469051,-0.42598917774572,0.833333333333333,0.797601531686428,1.18823224604526,1.61422142379098,0.6,0.564268198353095,0.219739214432464,0.645728392178184,0.75,0.714268198353095,0.922712488867807,1.34870166661353
3,1,56,4,5,6,7,"Kendrick",19,0.0262902559711152,0.00469990317431986,-0.576282163302362,0.666666666666667,0.661966763492347,0.493810803551276,1.07009296685364,0.8,0.79530009682568,1.0437612685542,1.62004343185657,1,0.99530009682568,1.78775544718138,2.36403761048374
6,10,8,4,4,4,5,"Kendrick",20,0.282376385734141,1,4.24413264982603,0.5,-0.5,-0.200610638942706,-4.44474328876873,0.4,-0.6,-0.604282839689276,-4.8484154895153,0.5,-0.5,0.0576695305542377,-4.18646311927179
2,4,15,1,6,5,4,"Kendrick",21,0.0859010967303426,0.236382406379089,0.545797271787392,0.833333333333333,0.596950926954244,1.18823224604526,0.642434974257865,0.6,0.363617593620911,0.219739214432464,-0.326058057354928,0.25,0.0136175936209106,-0.807373427759331,-1.35317069954672
4,4,21,1,5,5,5,"Kendrick",22,0.0555292679249989,0.11833976120067,-0.0259041851035255,0.666666666666667,0.548326905465997,0.493810803551276,0.519714988654801,0.6,0.48166023879933,0.219739214432464,0.24564339953599,0.5,0.38166023879933,0.0576695305542377,0.0835737156577633
2,5,33,2,6,5,5,"Kendrick",23,0.0342746204903074,0.0357318016469051,-0.42598917774572,0.833333333333333,0.797601531686428,1.18823224604526,1.61422142379098,0.6,0.564268198353095,0.219739214432464,0.645728392178184,0.5,0.464268198353095,0.0576695305542377,0.483658708299958
3,1,67,4,6,7,6,"Kendrick",24,0.0262902559711152,0.00469990317431986,-0.576282163302362,0.833333333333333,0.828633430159013,1.18823224604526,1.76451440934762,1,0.99530009682568,1.86778332267594,2.44406548597831,0.75,0.74530009682568,0.922712488867807,1.49899465217017
4,4,31,2,5,5,7,"Kendrick",25,0.0372276717810613,0.0472090817258316,-0.370402675661243,0.666666666666667,0.619457584940835,0.493810803551276,0.864213479212519,0.6,0.552790918274168,0.219739214432464,0.590141890093708,1,0.952790918274168,1.78775544718138,2.15815812284262
5,5,13,1,4,4,4,"Kendrick",26,0.0507555505189989,0.0997863104503034,-0.115761836194841,0.5,0.400213689549697,-0.200610638942706,-0.084848802747865,0.4,0.300213689549697,-0.604282839689276,-0.488521003494436,0.25,0.150213689549697,-0.807373427759331,-0.691611591564491
1,5,16,2,5,4,6,"Kendrick",27,0.0875640084826908,0.242845451564927,0.577098945374175,0.666666666666667,0.423821215101739,0.493810803551276,-0.0832881418228995,0.4,0.157154548435073,-0.604282839689276,-1.18138178506345,0.75,0.507154548435073,0.922712488867807,0.345613543493632
4,4,24,3,5,6,5,"Kendrick",28,0.0472298867754975,0.0860835243270217,-0.182126858584029,0.666666666666667,0.580583142339645,0.493810803551276,0.675937662135304,0.8,0.713916475672978,1.0437612685542,1.22588812713823,0.5,0.413916475672978,0.0576695305542377,0.239796389138266
6,1,45,4,3,4,4,"Kendrick",29,0.0276032753623194,0.00980306252312502,-0.551566657901338,0.333333333333333,0.323530270810208,-0.895032081436687,-0.343465423535349,0.4,0.390196937476875,-0.604282839689276,-0.0527161817879386,0.25,0.240196937476875,-0.807373427759331,-0.255806769857994
