"Education","Occupation","Duration","age","que_6","que_15","que_24","Location","Point","Slope","Slope_scaled","Slope_scaled_alt","que_6_scaled","que_6_delta","que_6_scaled_alt","que_6_delta_alt","que_15_scaled","que_15_delta","que_15_scaled_alt","que_15_delta_alt","que_24_scaled","que_24_delta","que_24_scaled_alt","que_24_delta_alt"
3,1,58,4,1,1,6,"Bovill",1,0.0544843367093158,0,-1.088959224539,0,0,-1.53930104546776,-0.450341820928758,0,0,-1.56861336431354,-0.479654139774534,0.833333333333333,0.833333333333333,1.07050979657881,2.15946902111781
3,4,34,2,3,2,6,"Bovill",2,0.0824823267026167,0.232171563351414,-0.179305828762528,0.333333333333333,0.101161769981919,-0.542007410375973,-0.362701581613445,0.166666666666667,-0.0655048966847477,-1.04064106120313,-0.8613352324406,0.833333333333333,0.601161769981919,1.07050979657881,1.24981562534134
2,3,30,1,5,2,3,"Bovill",3,0.0983508576746488,0.363760354002049,0.336262006219449,0.666666666666667,0.302906312664618,0.455286224715817,0.119024218496368,0.166666666666667,-0.197093687335382,-1.04064106120313,-1.37690306742258,0.333333333333333,-0.0304270206687157,-0.82346907429139,-1.15973108051084
4,5,30,2,1,3,4,"Bovill",4,0.0983508576746488,0.363760354002049,0.336262006219449,0,-0.363760354002049,-1.53930104546776,-1.87556305168721,0.333333333333333,-0.0304270206687157,-0.512668758092717,-0.848930764312166,0.5,0.136239645997951,-0.192142784001324,-0.528404790220773
5,1,40,4,3,3,2,"Bovill",5,0.0632633889177196,0.0727997358544843,-0.803728225635715,0.333333333333333,0.260533597478849,-0.542007410375973,0.261720815259742,0.333333333333333,0.260533597478849,-0.512668758092717,0.291059467542998,0.166666666666667,0.0938669308121824,-1.45479536458146,-0.651067138945742
4,5,31,1,7,7,3,"Bovill",6,0.0902806712713119,0.296838843056143,0.0740620244314323,1,0.703161156943857,1.45257985980761,1.37851783537617,1,0.703161156943857,1.59922045434892,1.52515842991749,0.333333333333333,0.0364944902771905,-0.82346907429139,-0.897531098722823
4,5,19,3,4,5,4,"Bovill",7,0.132974311269135,0.650873155727471,1.46117640697712,0.5,-0.150873155727471,-0.043360592830078,-1.5045369998072,0.666666666666667,0.0157935109391953,0.543275848128103,-0.917900558849018,0.5,-0.150873155727471,-0.192142784001324,-1.65331919097845
3,1,48,3,6,4,2,"Bovill",8,0.0544843367093158,0,-1.088959224539,0.833333333333333,0.833333333333333,0.953933042261711,2.04289226680072,0.5,0.5,0.0153035450176931,1.1042627695567,0.166666666666667,0.166666666666667,-1.45479536458146,-0.365836140042453
5,5,15,2,1,7,1,"Bovill",9,0.173421395472052,0.986278046387281,2.77530029598644,0,-0.986278046387281,-1.53930104546776,-4.3146013414542,1,0.0137219536127192,1.59922045434892,-1.17607984163751,0,-0.986278046387281,-2.08612165487152,-4.86142195085796
3,5,31,4,1,7,2,"Bovill",10,0.0902806712713119,0.296838843056143,0.0740620244314323,0,-0.296838843056143,-1.53930104546776,-1.61336306989919,1,0.703161156943857,1.59922045434892,1.52515842991749,0.166666666666667,-0.130172176389476,-1.45479536458146,-1.52885738901289
3,7,35,3,2,6,3,"Bovill",11,0.0792877884115838,0.205681056376002,-0.283096229611709,0.166666666666667,-0.0390143897093354,-1.04065422792187,-0.757557998310159,0.833333333333333,0.627652276957331,1.07124815123851,1.35434438085022,0.333333333333333,0.127652276957331,-0.82346907429139,-0.540372844679682
2,1,31,3,3,5,4,"Bovill",12,0.0902806712713119,0.296838843056143,0.0740620244314323,0.333333333333333,0.0364944902771905,-0.542007410375973,-0.616069434807405,0.666666666666667,0.369827823610524,0.543275848128103,0.469213823696671,0.5,0.203161156943857,-0.192142784001324,-0.266204808432757
3,1,39,3,4,4,7,"Bovill",13,0.0593382145722144,0.0402504755525531,-0.931256957993212,0.5,0.459749524447447,-0.043360592830078,0.887896365163134,0.5,0.459749524447447,0.0153035450176931,0.946560503010905,1,0.959749524447447,1.70183608686887,2.63309304486209
2,1,35,4,4,3,6,"Bovill",14,0.0792877884115838,0.205681056376002,-0.283096229611709,0.5,0.294318943623998,-0.043360592830078,0.239735636781631,0.333333333333333,0.127652276957331,-0.512668758092717,-0.229572528481009,0.833333333333333,0.627652276957331,1.07050979657881,1.35360602619052
1,4,29,1,6,1,5,"Bovill",15,0.0991223401781727,0.370157823927007,0.361327436962176,0.833333333333333,0.463175509406327,0.953933042261711,0.592605605299536,0,-0.370157823927007,-1.56861336431354,-1.92994080127571,0.666666666666667,0.29650884273966,0.439183506288742,0.0778560693265663
