"date","pdsi","coord","day","month","year"
1981-06-24,1.02,"Bovill",24,6,1981
1981-06-29,1.22,"Bovill",29,6,1981
1981-07-04,1.41,"Bovill",4,7,1981
1981-07-09,1.59,"Bovill",9,7,1981
1981-07-14,1.76,"Bovill",14,7,1981
1981-07-19,1.85,"Bovill",19,7,1981
1981-07-24,1.94,"Bovill",24,7,1981
1981-07-29,2.08,"Bovill",29,7,1981
1981-08-03,2.22,"Bovill",3,8,1981
1981-08-08,2.33,"Bovill",8,8,1981
1981-08-13,2.45,"Bovill",13,8,1981
1981-08-18,2.51,"Bovill",18,8,1981
1981-08-23,2.54,"Bovill",23,8,1981
1981-08-28,2.54,"Bovill",28,8,1981
1981-09-02,2.52,"Bovill",2,9,1981
1981-09-07,2.44,"Bovill",7,9,1981
1981-09-12,2.33,"Bovill",12,9,1981
1981-09-17,2.21,"Bovill",17,9,1981
1981-09-22,2.1,"Bovill",22,9,1981
1981-09-27,2.07,"Bovill",27,9,1981
1981-10-02,2.08,"Bovill",2,10,1981
1981-10-07,2.13,"Bovill",7,10,1981
1981-10-12,2.23,"Bovill",12,10,1981
1981-10-17,2.34,"Bovill",17,10,1981
1981-10-22,2.39,"Bovill",22,10,1981
1981-10-27,2.4,"Bovill",27,10,1981
1981-11-01,2.35,"Bovill",1,11,1981
1981-11-06,2.21,"Bovill",6,11,1981
1981-11-11,2.04,"Bovill",11,11,1981
1981-11-16,1.97,"Bovill",16,11,1981
1981-11-21,1.96,"Bovill",21,11,1981
1981-11-26,1.9,"Bovill",26,11,1981
1981-12-01,1.85,"Bovill",1,12,1981
1981-12-06,1.86,"Bovill",6,12,1981
1981-12-11,1.85,"Bovill",11,12,1981
1981-12-16,1.87,"Bovill",16,12,1981
1981-12-21,1.9,"Bovill",21,12,1981
1981-12-26,1.93,"Bovill",26,12,1981
1981-12-31,1.95,"Bovill",31,12,1981
1982-01-05,1.92,"Bovill",5,1,1982
1982-01-10,1.91,"Bovill",10,1,1982
1982-01-15,1.9,"Bovill",15,1,1982
1982-01-20,1.94,"Bovill",20,1,1982
1982-01-25,2.07,"Bovill",25,1,1982
1982-01-30,2.17,"Bovill",30,1,1982
1982-02-04,2.23,"Bovill",4,2,1982
1982-02-09,2.31,"Bovill",9,2,1982
1982-02-14,2.44,"Bovill",14,2,1982
1982-02-19,2.62,"Bovill",19,2,1982
1982-02-24,2.7,"Bovill",24,2,1982
1982-03-01,2.81,"Bovill",1,3,1982
1982-03-06,2.95,"Bovill",6,3,1982
1982-03-11,3.13,"Bovill",11,3,1982
1982-03-16,3.21,"Bovill",16,3,1982
1982-03-21,3.22,"Bovill",21,3,1982
1982-03-26,3.16,"Bovill",26,3,1982
1982-03-31,3.1,"Bovill",31,3,1982
1982-04-05,3.02,"Bovill",5,4,1982
1982-04-10,2.92,"Bovill",10,4,1982
1982-04-15,2.94,"Bovill",15,4,1982
1982-04-20,2.93,"Bovill",20,4,1982
1982-04-25,2.92,"Bovill",25,4,1982
1982-04-30,2.92,"Bovill",30,4,1982
1982-05-05,2.88,"Bovill",5,5,1982
1982-05-10,2.84,"Bovill",10,5,1982
1982-05-15,2.68,"Bovill",15,5,1982
1982-05-20,2.53,"Bovill",20,5,1982
1982-05-25,2.39,"Bovill",25,5,1982
1982-05-30,2.26,"Bovill",30,5,1982
1982-06-04,2.16,"Bovill",4,6,1982
1982-06-09,2.08,"Bovill",9,6,1982
1982-06-14,1.97,"Bovill",14,6,1982
1982-06-19,1.83,"Bovill",19,6,1982
1982-06-24,1.72,"Bovill",24,6,1982
1982-06-29,1.62,"Bovill",29,6,1982
1982-07-04,1.58,"Bovill",4,7,1982
1982-07-09,1.58,"Bovill",9,7,1982
1982-07-14,1.58,"Bovill",14,7,1982
1982-07-19,1.61,"Bovill",19,7,1982
1982-07-24,1.65,"Bovill",24,7,1982
1982-07-29,1.67,"Bovill",29,7,1982
1982-08-03,1.68,"Bovill",3,8,1982
1982-08-08,1.69,"Bovill",8,8,1982
1982-08-13,1.67,"Bovill",13,8,1982
1982-08-18,1.66,"Bovill",18,8,1982
1982-08-23,1.66,"Bovill",23,8,1982
1982-08-28,1.64,"Bovill",28,8,1982
1982-09-02,1.61,"Bovill",2,9,1982
1982-09-07,1.56,"Bovill",7,9,1982
1982-09-12,1.58,"Bovill",12,9,1982
1982-09-17,1.57,"Bovill",17,9,1982
1982-09-22,1.57,"Bovill",22,9,1982
1982-09-27,1.63,"Bovill",27,9,1982
1982-10-02,1.7,"Bovill",2,10,1982
1982-10-07,1.82,"Bovill",7,10,1982
1982-10-12,1.84,"Bovill",12,10,1982
1982-10-17,1.88,"Bovill",17,10,1982
1982-10-22,1.92,"Bovill",22,10,1982
1982-10-27,1.94,"Bovill",27,10,1982
1982-11-01,1.94,"Bovill",1,11,1982
1982-11-06,1.97,"Bovill",6,11,1982
1982-11-11,1.97,"Bovill",11,11,1982
1982-11-16,1.97,"Bovill",16,11,1982
1982-11-21,2.07,"Bovill",21,11,1982
